,year,product,source,target,value
371,2022,Tungsten,Denmark,Italy,2823.287
372,2022,Tungsten,Denmark,Japan,55773.156
373,2022,Tungsten,Denmark,Rep. of Korea,2729.384
374,2022,Tungsten,Denmark,Latvia,482.192
375,2022,Tungsten,Denmark,Lithuania,6588.506
376,2022,Tungsten,Denmark,Netherlands,3561.961
377,2022,Tungsten,Denmark,Norway,28390.562
378,2022,Tungsten,Denmark,Portugal,5867.265
379,2022,Tungsten,Denmark,Slovakia,463.306
380,2022,Tungsten,Denmark,Viet Nam,24.565
381,2022,Tungsten,Denmark,Slovenia,2793.571
382,2022,Tungsten,Denmark,Spain,1637.948
383,2022,Tungsten,Denmark,Sweden,40556.833
384,2022,Tungsten,Denmark,Türkiye,109.751
385,2022,Tungsten,Denmark,Ukraine,1013.383
386,2022,Tungsten,Denmark,United Kingdom,5956.941
387,2022,Tungsten,Denmark,USA,8717.89
388,2022,Tungsten,Dominican Rep.,Haiti,108.0
389,2022,Tungsten,Dominican Rep.,Haiti,108.0
390,2022,Tungsten,Ethiopia,Sweden,101.339
391,2022,Tungsten,Estonia,Finland,740.49
392,2022,Tungsten,Estonia,Germany,800.75
393,2022,Tungsten,Estonia,Latvia,9.02
394,2022,Tungsten,Finland,China,146565.414
395,2022,Tungsten,Finland,Czechia,213447.692
396,2022,Tungsten,Finland,Estonia,525.471
397,2022,Tungsten,Finland,Germany,2742744.135
398,2022,Tungsten,Finland,Kazakhstan,4977.761
399,2022,Tungsten,Finland,Netherlands,18611.581
400,2022,Tungsten,Finland,Norway,16.849
401,2022,Tungsten,Finland,Russian Federation,6882.726
402,2022,Tungsten,Finland,Sweden,2690.539
403,2022,Tungsten,Finland,Switzerland,6346.724
404,2022,Tungsten,Finland,United Arab Emirates,75819.501
405,2022,Tungsten,Finland,United Kingdom,203.238
406,2022,Tungsten,Finland,USA,421378.462
407,2022,Tungsten,France,Angola,2948.536
408,2022,Tungsten,France,Austria,697975.375
409,2022,Tungsten,France,Belgium,41476.426
410,2022,Tungsten,France,Canada,69836.079
411,2022,Tungsten,France,Czechia,33401.649
412,2022,Tungsten,France,Finland,5619.067
413,2022,Tungsten,France,Germany,5127760.28
414,2022,Tungsten,France,Greece,5118.869
415,2022,Tungsten,France,Ireland,2498.884
416,2022,Tungsten,France,Israel,916.152
417,2022,Tungsten,France,Italy,788446.995
418,2022,Tungsten,France,Japan,78511.094
419,2022,Tungsten,France,Luxembourg,322529.84
420,2022,Tungsten,France,Malaysia,17480.607
421,2022,Tungsten,France,Netherlands,42813.798
422,2022,Tungsten,France,Norway,1134.133
423,2022,Tungsten,France,Poland,78102.511
424,2022,Tungsten,France,Portugal,1684.878
425,2022,Tungsten,France,Romania,5811.775
426,2022,Tungsten,France,India,7513.502
427,2022,Tungsten,France,Singapore,2839.019
428,2022,Tungsten,France,Slovenia,842002.942
429,2022,Tungsten,France,Spain,55796.835
430,2022,Tungsten,France,Sweden,636444.69
431,2022,Tungsten,France,Switzerland,1788610.469
432,2022,Tungsten,France,Türkiye,280250.991
433,2022,Tungsten,France,United Kingdom,1092698.017
434,2022,Tungsten,France,USA,327082.17
435,2022,Tungsten,Estonia,Finland,740.49
436,2022,Tungsten,Estonia,Germany,800.75
437,2022,Tungsten,Estonia,Latvia,9.02
438,2022,Tungsten,Germany,Albania,1176.417
439,2022,Tungsten,Germany,Argentina,7443.933
440,2022,Tungsten,Germany,Australia,54913.566
441,2022,Tungsten,Germany,Austria,80950233.032
442,2022,Tungsten,Germany,Bangladesh,8161.854
443,2022,Tungsten,Germany,Armenia,5720.075
444,2022,Tungsten,Germany,Belgium,1606817.957
445,2022,Tungsten,Germany,Bolivia (Plurinational State of),74.122
446,2022,Tungsten,Germany,Bosnia Herzegovina,3301.591
447,2022,Tungsten,Germany,Botswana,968.876
448,2022,Tungsten,Germany,Brazil,274974.441
449,2022,Tungsten,Germany,Brunei Darussalam,13525.086
450,2022,Tungsten,Germany,Bulgaria,537736.807
451,2022,Tungsten,Germany,Belarus,2331.656
452,2022,Tungsten,Germany,Canada,45669.535
453,2022,Tungsten,Germany,Sri Lanka,38224.543
454,2022,Tungsten,Germany,Chile,2077.524
455,2022,Tungsten,Germany,China,891682.589
456,2022,Tungsten,Germany,Colombia,75974.708
457,2022,Tungsten,Germany,Croatia,32548.942
458,2022,Tungsten,Germany,Cuba,13351.43
459,2022,Tungsten,Germany,Czechia,10346953.679
460,2022,Tungsten,Germany,Denmark,406482.16
461,2022,Tungsten,Germany,Dominican Rep.,36553.629
462,2022,Tungsten,Germany,Ecuador,1661.384
463,2022,Tungsten,Germany,El Salvador,2533.902
464,2022,Tungsten,Germany,Ethiopia,355.784
465,2022,Tungsten,Germany,Estonia,11691.105
466,2022,Tungsten,Germany,Finland,28913758.748
467,2022,Tungsten,Germany,France,6686672.249
468,2022,Tungsten,Germany,French Polynesia,622.622
469,2022,Tungsten,Germany,Georgia,21.178
470,2022,Tungsten,Germany,Greece,193134.591
471,2022,Tungsten,Germany,Guatemala,121.771
472,2022,Tungsten,Germany,"China, Hong Kong SAR",236905.553
473,2022,Tungsten,Germany,Hungary,511806.931
474,2022,Tungsten,Germany,Iceland,7826.189
475,2022,Tungsten,Germany,Indonesia,105032.519
476,2022,Tungsten,Germany,Iran,32330.812
477,2022,Tungsten,Germany,Ireland,507481.402
478,2022,Tungsten,Germany,Israel,50024.713
479,2022,Tungsten,Germany,Italy,5143504.685
480,2022,Tungsten,Germany,Japan,1468707.056
481,2022,Tungsten,Germany,Kazakhstan,81220.404
482,2022,Tungsten,Germany,Jordan,3187.232
483,2022,Tungsten,Germany,Rep. of Korea,305702.107
484,2022,Tungsten,Germany,Kuwait,1014.408
485,2022,Tungsten,Germany,Kyrgyzstan,949.816
486,2022,Tungsten,Germany,Lebanon,8536.698
487,2022,Tungsten,Germany,Latvia,8359.865
488,2022,Tungsten,Germany,Libya,1280.187
489,2022,Tungsten,Germany,Lithuania,11764.167
490,2022,Tungsten,Germany,Luxembourg,177727.873
491,2022,Tungsten,Germany,Malaysia,115865.93
492,2022,Tungsten,Germany,Mauritius,635.329
493,2022,Tungsten,Germany,Mexico,194124.645
494,2022,Tungsten,Germany,Mongolia,3663.728
495,2022,Tungsten,Germany,Morocco,27330.776
496,2022,Tungsten,Germany,Netherlands,1209719.6
497,2022,Tungsten,Germany,New Zealand,10024.426
498,2022,Tungsten,Germany,Norway,337689.842
499,2022,Tungsten,Germany,Pakistan,3583.253
500,2022,Tungsten,Germany,Peru,75141.369
501,2022,Tungsten,Germany,Philippines,11082.248
502,2022,Tungsten,Germany,Poland,819079.358
503,2022,Tungsten,Germany,Portugal,410205.186
504,2022,Tungsten,Germany,Qatar,2426.955
505,2022,Tungsten,Germany,Romania,107833.259
506,2022,Tungsten,Germany,Russian Federation,2603304.347
507,2022,Tungsten,Germany,Saudi Arabia,481407.517
508,2022,Tungsten,Germany,Serbia,129415.371
509,2022,Tungsten,Germany,India,1077454.781
510,2022,Tungsten,Germany,Singapore,502368.066
511,2022,Tungsten,Germany,Slovakia,278826.65
512,2022,Tungsten,Germany,Viet Nam,95824.49
513,2022,Tungsten,Germany,Slovenia,197113.865
514,2022,Tungsten,Germany,South Africa,53072.172
515,2022,Tungsten,Germany,Zimbabwe,3840.561
516,2022,Tungsten,Germany,Spain,1241819.576
517,2022,Tungsten,Germany,Sudan,531.558
518,2022,Tungsten,Germany,Sweden,2249228.323
519,2022,Tungsten,Germany,Switzerland,1523766.748
520,2022,Tungsten,Germany,Thailand,50993.589
521,2022,Tungsten,Germany,United Arab Emirates,22550.988
522,2022,Tungsten,Germany,Tunisia,1754.566
523,2022,Tungsten,Germany,Türkiye,1061654.159
524,2022,Tungsten,Germany,Ukraine,47497.164
525,2022,Tungsten,Germany,North Macedonia,105173.35
526,2022,Tungsten,Germany,Egypt,117714.736
527,2022,Tungsten,Germany,United Kingdom,4859647.292
528,2022,Tungsten,Germany,USA,100498289.312
529,2022,Tungsten,Germany,Uzbekistan,2730.854
530,2022,Tungsten,Ghana,Côte d'Ivoire,312.485
531,2022,Tungsten,Greece,Cyprus,229.565
532,2022,Tungsten,Greece,United Kingdom,5290.516
533,2022,Tungsten,Guatemala,Honduras,545.0
534,2022,Tungsten,"China, Hong Kong SAR",Australia,1124205.214
535,2022,Tungsten,"China, Hong Kong SAR",Belgium,48490.585
536,2022,Tungsten,"China, Hong Kong SAR",Canada,2701.427
537,2022,Tungsten,"China, Hong Kong SAR",Chile,7116.592
538,2022,Tungsten,"China, Hong Kong SAR",China,1353448.781
539,2022,Tungsten,"China, Hong Kong SAR",Finland,5814.018
540,2022,Tungsten,"China, Hong Kong SAR",France,194585.599
541,2022,Tungsten,"China, Hong Kong SAR",Germany,139854.892
542,2022,Tungsten,"China, Hong Kong SAR",Ireland,10308.479
543,2022,Tungsten,"China, Hong Kong SAR",Japan,10711.216
544,2022,Tungsten,"China, Hong Kong SAR",Rep. of Korea,12540.387
